sample,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,temperature,residence_time,pressure,heat_rate,fuel_type,devol_yield,fuel_category_Biomass,fuel_category_Coal,fuel_category_Mix,fuel_category_Plastic
cel_18,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,200,1.0,1.0,1000,Cellulose,2.018886356,1,0,0,0
cel_19,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,200,1.0,1.0,1000,Cellulose,2.324709411,1,0,0,0
htc_9,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,0.5,1.0,1000,HTC-MSW,11.27704968,1,0,0,0
htc_96,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,0.5,1.0,1000,HTC-MSW,6.785137318,1,0,0,0
htc_152,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,1.0,1.0,1000,HTC-MSW,2.87856072,1,0,0,0
htc_152,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,1.0,1.0,1000,HTC-MSW,2.87856072,1,0,0,0
hc_1,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,200,1.0,1.0,1000,Hemicellulose,1.415701416,1,0,0,0
hc_3,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,200,1.0,1.0,1000,Hemicellulose,1.818794207,1,0,0,0
lig_2,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,200,1.0,1.0,1000,Lignin,2.04629319,1,0,0,0
lig_3,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,200,1.0,1.0,1000,Lignin,1.983584131,1,0,0,0
TC_1,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,1.0,1.0,1000,Torr-Coal,2.448685632,0,1,0,0
TC_3,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,1.0,1.0,1000,Torr-Coal,2.857142857,0,1,0,0
TC_19,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,1.452870305,0,1,0,0
TC_148,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,1.871739797,0,1,0,0
TC_149,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,1.658163265,0,1,0,0
